Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF","CP_Radial_D5.0mm_P2.50mm",17.705100,-164.200000,180.000000,top
"C2","220uF","CP_Radial_D5.0mm_P2.50mm",25.605100,-164.200000,180.000000,top
"C3","220uF","CP_Radial_D5.0mm_P2.50mm",33.505100,-164.200000,180.000000,top
"C4","220uF","CP_Radial_D5.0mm_P2.50mm",41.305113,-164.200000,180.000000,top
"C9","220uF","CP_Radial_D5.0mm_P2.50mm",62.594888,-163.600000,0.000000,top
"C10","220uF","CP_Radial_D5.0mm_P2.50mm",73.694888,-164.200000,0.000000,top
"C11","220uF","CP_Radial_D5.0mm_P2.50mm",80.194888,-164.200000,0.000000,top
"C12","220uF","CP_Radial_D5.0mm_P2.50mm",86.394900,-164.200000,0.000000,top
"C22","220uF","CP_Radial_D8.0mm_P3.50mm",39.267500,-34.625100,-90.000000,top
"C23","220uF","CP_Radial_D8.0mm_P3.50mm",45.886100,-53.990300,-90.000000,top
"C24","220uF","CP_Radial_D8.0mm_P3.50mm",52.504700,-73.355500,-90.000000,top
"C25","220uF","CP_Radial_D8.0mm_P3.50mm",55.600000,-94.647300,-90.000000,top
"C26","220uF","CP_Radial_D8.0mm_P3.50mm",47.800000,-143.852700,90.000000,top
"C27","220uF","CP_Radial_D8.0mm_P3.50mm",51.814400,-126.254200,90.000000,top
"C28","220uF","CP_Radial_D8.0mm_P3.50mm",58.231000,-106.889000,90.000000,top
"C29","220uF","CP_Radial_D8.0mm_P3.50mm",63.900000,-91.652700,90.000000,top
"IC4","VNH7070ASTR","SOIC127P600X175-16N-layout",26.417500,-30.187600,180.000000,top
"IC5","VNH7070ASTR","SOIC127P600X175-16N-layout",33.036100,-49.552800,180.000000,top
"IC6","VNH7070ASTR","SOIC127P600X175-16N-layout",39.654700,-68.918000,180.000000,top
"IC7","VNH7070ASTR","SOIC127P600X175-16N-layout",46.273300,-88.283200,180.000000,top
"IC8","VNH7070ASTR","SOIC127P600X175-16N-layout",58.247700,-150.056900,0.000000,top
"IC9","VNH7070ASTR","SOIC127P600X175-16N-layout",64.664400,-130.691700,0.000000,top
"IC10","VNH7070ASTR","SOIC127P600X175-16N-layout",71.081000,-111.326500,0.000000,top
"IC11","VNH7070ASTR","SOIC127P600X175-16N-layout",77.497700,-91.961300,0.000000,top
"J6","Conn_02x12_Odd_Even","TE-5530843-1-2x12_edge_connector",48.000000,-11.994600,180.000000,top
"Q3","BSS138","SOT-23",39.667500,-26.025100,180.000000,top
"Q4","BSS138","SOT-23",46.286100,-45.390300,180.000000,top
"Q5","BSS138","SOT-23",52.904700,-64.755500,180.000000,top
"Q6","BSS138","SOT-23",59.523300,-84.120700,180.000000,top
"Q7","BSS138","SOT-23",50.500000,-157.900000,0.000000,top
"Q8","BSS138","SOT-23",51.414400,-134.854200,0.000000,top
"Q9","BSS138","SOT-23",57.831000,-115.489000,0.000000,top
"Q10","BSS138","SOT-23",64.247700,-96.123800,0.000000,top
"R20","8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",35.667500,-26.025100,-90.000000,top
"R21","8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",42.286100,-45.390300,-90.000000,top
"R22","8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",48.904700,-64.755500,-90.000000,top
"R23","8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",55.523300,-84.120700,-90.000000,top
"R24","8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",48.997700,-154.219400,90.000000,top
"R25","8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",55.414400,-134.854200,90.000000,top
"R26","8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",61.831000,-115.489000,90.000000,top
"R27","8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.247700,-96.123800,90.000000,top
"R28","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",33.505000,-32.187600,180.000000,top
"R29","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",40.123600,-51.552800,180.000000,top
"R30","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",46.742200,-70.918000,180.000000,top
"R31","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",53.360800,-90.283200,180.000000,top
"R32","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",32.667500,-26.025100,-90.000000,top
"R33","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",39.286100,-45.390300,-90.000000,top
"R34","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",45.904700,-64.755500,-90.000000,top
"R35","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",52.523300,-84.120700,-90.000000,top
"R36","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",18.417500,-28.437600,180.000000,top
"R37","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",25.036100,-47.802800,180.000000,top
"R38","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",31.654700,-67.168000,180.000000,top
"R39","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",38.273300,-86.533200,180.000000,top
"R40","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",51.160200,-148.056900,0.000000,top
"R41","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",57.576900,-128.691700,0.000000,top
"R42","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",63.993500,-109.326500,0.000000,top
"R43","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",70.410200,-89.961300,0.000000,top
"R44","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",51.997700,-154.219400,90.000000,top
"R45","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",58.414400,-134.854200,90.000000,top
"R46","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",64.831000,-115.489000,90.000000,top
"R47","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",71.247700,-96.123800,90.000000,top
"R48","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",66.247700,-151.806900,0.000000,top
"R49","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",72.664400,-132.441700,0.000000,top
"R50","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",79.081400,-113.076700,0.000000,top
"R51","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",85.497700,-93.711300,0.000000,top
"U2","Adafruit_815_I2C_PWM_driver","MODULE_815",79.247700,-50.994000,-90.000000,top
